297	14	2	50
674	31	1	200
62	31	2	300
411	21	1	100
163	30	3	350
805	27	1	400
33	33	4	200
369	26	1	200
432	18	2	300
183	26	1	300
526	18	3	350
538	27	3	200
252	32	1	200
173	30	2	300
373	26	4	50
84	4	2	100
369	23	2	300
733	32	2	50
14	12	4	350
104	30	3	250
270	35	1	400
385	27	1	50
392	24	1	350
148	25	3	100
301	18	1	300
221	27	3	50
573	29	2	200
205	22	2	50
116	18	4	350
462	22	1	200
96	10	2	400
24	10	1	200
874	33	3	250
283	32	2	250
200	28	2	250
385	29	3	250
652	33	4	200
33	21	2	300
527	35	2	250
87	23	3	100
271	34	4	350
289	15	2	350
319	31	1	200
271	9	3	50
197	8	1	400
204	33	2	200
262	17	3	200
507	17	3	150
471	16	2	150
813	31	4	350
46	10	1	200
563	30	2	100
184	6	4	150
287	22	2	100
946	34	4	150
1073	35	3	350
596	25	3	100
357	27	4	150
794	26	1	250
117	7	2	50
133	30	1	300
754	32	2	350
595	29	4	150
90	27	4	150
208	34	2	50
463	28	2	400
584	21	4	400
199	21	4	200
437	35	4	350
527	35	4	150
608	23	4	50
184	35	1	350
644	32	3	100
45	26	1	50
496	22	2	200
171	28	1	150
1002	34	3	50
367	14	1	50
215	33	3	100
656	28	2	400
622	30	2	400
135	15	1	350
546	28	1	100
106	25	3	150
385	31	1	250
765	25	4	200
831	28	2	200
236	9	3	400
320	33	2	400
159	18	2	150
272	11	3	350
184	35	2	200
150	28	4	150
274	28	4	100
313	15	4	400
532	22	2	150
742	24	4	250
636	25	4	150
394	20	4	350
397	34	4	400
40	16	2	150
343	33	2	50
208	15	1	300
272	16	3	250
639	23	3	350
579	26	1	250
762	30	3	400
158	31	1	350
688	34	2	200
717	29	2	350
462	16	4	400
334	31	1	150
208	25	2	150
452	30	2	300
650	33	4	250
557	24	1	50
331	15	2	50
195	9	3	350
64	18	4	150
715	29	3	400
43	28	1	150
496	26	4	350
681	23	4	300
321	32	4	50
51	34	1	50
141	34	2	200
645	32	4	150
23	1	3	200
95	25	4	150
869	33	2	200
659	31	4	250
229	18	4	150
422	18	2	400
123	22	3	400
522	34	4	200
167	24	1	100
230	18	1	50
404	14	2	150
290	28	4	100
168	18	2	150
471	19	1	200
58	3	4	100
47	31	1	350
426	29	1	250
369	34	4	350
358	33	1	300
526	24	2	150
198	29	4	100
144	32	1	200
446	23	4	150
246	20	2	100
546	24	1	100
566	22	1	100
137	9	4	50
174	21	2	150
95	30	2	50
96	30	3	100
115	20	1	200
31	24	4	150
83	27	2	400
590	31	3	400
126	27	3	400
379	35	4	150
578	32	2	50
303	20	1	250
38	35	2	350
603	29	1	250
72	25	4	400
187	33	4	300
543	26	1	250
137	8	3	400
731	32	2	400
49	33	3	250
883	34	4	200
172	13	1	250
878	32	1	200
105	19	3	250
532	28	2	400
44	11	2	200
257	21	1	150
458	23	1	150
171	31	4	350
190	19	1	50
374	29	3	200
194	25	4	100
92	18	1	50
96	35	1	50
273	24	1	150
342	34	1	150
300	10	4	400
971	32	4	200
45	7	3	250
206	34	2	400
280	23	2	350
546	29	1	300
114	21	1	150
202	24	3	400
456	19	3	400
72	16	3	50
463	16	4	400
580	32	2	400
284	20	3	300
40	17	2	100
519	27	2	50
85	26	3	50
280	32	2	150
527	25	1	50
29	12	1	50
543	19	3	200
167	18	2	350
74	11	1	400
219	17	3	300
296	29	1	200
444	24	1	200
667	30	3	200
199	27	3	400
6	3	2	50
342	32	4	50
553	19	2	200
583	27	1	50
341	14	3	300
101	27	1	250
221	13	1	100
318	20	2	200
371	23	3	350
472	20	1	250
215	26	4	400
315	13	1	400
44	8	2	250
342	29	3	150
17	10	2	350
462	26	3	250
204	18	4	200
566	25	1	50
144	22	1	300
338	26	2	200
546	30	4	400
374	29	2	250
221	19	2	100
515	30	3	300
142	19	4	100
173	12	1	400
66	11	4	50
475	34	1	400
632	34	1	400
201	26	4	300
25	8	1	350
171	35	1	350
324	16	3	400
14	8	2	150
456	18	2	250
600	35	4	100
390	28	3	200
735	33	4	350
545	18	2	250
281	28	1	150
630	27	4	350
718	35	4	300
368	31	4	250
856	34	4	250
637	32	4	100
303	25	3	300
926	32	4	300
639	25	3	300
102	6	4	350
