514	32	2	300
86	35	1	150
423	23	1	250
397	17	2	400
233	35	4	350
67	26	2	100
371	24	1	400
40	34	4	200
26	21	2	400
499	20	2	400
227	11	3	50
465	29	1	350
609	25	1	100
217	11	2	200
450	28	1	150
803	30	3	100
631	30	2	150
226	18	3	100
483	24	2	150
65	29	2	250
276	23	2	300
92	32	2	100
323	23	3	200
655	31	2	150
213	9	3	300
337	25	4	100
752	31	3	350
687	26	2	50
840	31	3	350
950	31	2	300
50	20	2	150
250	28	3	400
768	29	1	300
17	6	4	250
16	13	3	250
632	29	2	150
310	23	3	300
483	22	1	150
761	29	4	50
339	18	3	50
874	33	3	250
51	2	1	50
173	7	2	400
184	8	2	400
91	20	2	250
99	32	2	50
223	16	1	350
58	33	3	50
103	14	2	150
310	16	2	250
126	25	1	50
124	13	2	50
118	5	4	300
332	14	1	300
55	29	1	300
397	32	1	350
316	30	3	400
910	33	1	350
563	28	4	350
1004	33	4	300
335	32	1	250
130	30	3	50
25	23	1	50
695	29	2	350
244	25	4	50
514	26	1	200
867	29	3	100
528	28	2	400
733	33	1	150
100	22	2	200
89	17	1	50
291	28	3	100
55	32	2	300
68	18	4	400
323	20	1	150
58	11	2	250
459	15	1	300
671	27	1	150
218	10	2	300
176	31	4	150
288	19	1	250
114	13	3	400
34	14	4	300
468	17	1	400
1052	34	1	200
462	18	4	200
366	16	3	350
52	8	4	50
134	35	3	400
860	30	1	300
321	31	4	300
1018	35	1	350
297	34	1	200
113	32	3	300
190	26	3	150
114	8	1	300
194	21	2	400
699	29	1	50
146	23	4	150
175	33	3	150
696	28	3	200
570	25	3	300
964	32	2	400
566	35	4	300
250	32	1	250
71	8	4	50
317	34	1	250
351	20	2	250
184	28	2	50
214	29	2	150
754	33	3	150
239	33	1	300
661	31	2	150
476	18	1	300
355	29	2	150
396	26	2	250
252	24	4	250
55	31	3	400
321	35	3	100
138	30	4	300
135	12	4	100
686	32	2	350
463	27	3	200
74	4	4	400
286	18	4	50
155	20	4	150
596	35	4	200
321	18	4	350
33	18	1	150
208	7	3	150
510	34	3	200
577	32	2	300
356	22	3	200
490	23	4	50
195	9	3	350
343	30	3	200
458	24	3	400
417	15	2	400
260	34	3	50
219	13	4	250
195	21	4	200
599	29	4	150
2	1	2	50
355	35	1	350
405	29	3	50
173	23	2	300
303	14	2	250
290	11	2	400
600	28	4	200
235	19	3	50
420	32	3	350
26	14	2	300
119	30	2	350
275	25	4	150
182	9	3	200
400	29	1	50
422	15	3	300
149	29	3	300
426	28	2	200
651	31	3	150
37	8	1	200
158	28	2	150
159	9	4	250
240	13	4	250
73	11	1	400
57	11	1	100
498	32	4	250
277	20	2	200
35	34	2	400
24	22	4	150
82	8	3	350
746	33	2	300
453	32	2	200
268	15	1	250
155	32	2	200
563	24	4	300
225	13	4	150
198	29	4	100
43	30	2	400
856	35	3	200
61	8	2	300
521	21	4	350
689	25	4	150
214	19	1	350
782	30	4	200
231	13	3	400
785	28	1	400
562	20	1	250
295	15	1	200
258	22	1	200
800	28	3	400
74	35	2	100
124	15	4	350
84	30	2	50
158	26	1	250
359	34	2	50
72	25	4	400
786	26	2	400
78	10	3	250
682	28	2	50
103	24	2	350
200	16	4	400
379	16	2	300
138	19	1	300
901	34	4	50
275	31	3	100
713	34	3	350
76	10	3	250
79	27	3	300
429	21	4	350
45	16	2	150
791	28	4	400
127	22	2	200
373	18	4	150
131	24	3	50
249	31	1	250
